x,y
44384,281570
54201,271805
52760,269852
48200,357103
28538,303790
445329,229855
460812,214161
43720,249837
43720,250126
103337,188253
179814,269904
52388,277624
43720,249830
132662,162987
52388,277500
52388,277539
144906,270106
52760,269956
52388,277520
46738,238393
445329,229855
53836,283277
42081,289104
31027,195977
450747,335093
143150,419990
28538,303575
28538,303972
109687,178953
126736,288145
43720,250133
43720,249991
43720,250182
52388,277395
43720,250180
52815,267005
43720,249989
47848,284822
169070,208506
49454,333219
52388,277503
52388,277440
176927,233110
52388,277606
43720,249974
143388,252708
159261,364632
146400,408400
97237,296129
180277,372876
43720,250179
52760,269941
129722,318605
92497,234909
45635,298524
177151,390870
103744,372728
448384,290262
52760,269907
52760,269899
102021,198691
47625,359139
43720,249874
161559,347263
164906,156479
53996,244509
190354,358388
43628,182121
52388,277550
52388,277545
161386,266740
47456,308988
44887,444963
43720,250081
169847,348097
175964,391529
47212,357216
137862,228186
97232,247444
151242,319375
28538,303818
31103,291638
450278,289480
52388,277579
180318,340322
52815,267031
43720,249994
445329,229855
106640,227016
28538,303784
190634,369866
28538,303391
46568,282955
43720,249605
43720,229719
52388,277652
48028,393747
103679,372423
28538,303536
140736,354691
130991,394798
112104,387660
164721,359396
28538,303785
43720,250173
142797,254290
153563,337943
52760,269907
125678,358107
52388,277443
28538,303589
44795,223515
52815,267092
52388,277560
52388,277505
164056,321907
112997,384263
28538,303678
142042,360845
28538,303698
46408,366810
161023,283774
445329,229855
52388,277556
43720,250057
117793,210014
131757,274835
140720,282841
52388,277607
141859,281221
166511,308091
142385,402293
171122,230068
154498,292732
140512,221562
52388,277522
146120,357375
178619,264234
104220,361107
52760,269929
46723,328339
96563,215504
376047,348043
46057,273229
28538,303918
121036,370539
173543,358697
103247,321284
147957,275657
181039,234058
142256,496862
165764,242104
46368,190630
174936,366717
28538,303522
28538,303921
157773,388195
13226,343458
181947,272369
46313,354784
120908,280167
52760,269877
149165,290730
131964,392897
99362,307641
28538,303564
182542,346698
132081,273830
46982,177135
156628,368485
47340,330521
159862,334498
182801,338770
139184,246005
43720,249968
43720,250114
31994,268544
43041,232257
52388,277314
48789,195190
153246,346575
461554,339350
42225,211092
28538,303827
28538,303688
52760,269945
171821,269695
152341,331101
192764,407771
104813,265844
57101,241447
138469,94381
28538,303641
55318,293800
43720,250130
28538,303684
28538,303758
43720,250058
52388,277532
41060,220371
167311,276635
135094,249542
167546,390632
31156,271529
181777,251789
146630,345226
28538,303697
28538,303904
44103,311941
175837,230222
52388,277502
181287,234669
47150,268557
48359,363777
161364,298693
147492,292734
159719,308958
43720,249832
43720,249828
52388,277504
52388,277610
131566,155476
52760,269901
28538,303778
167019,294272
89225,350195
42331,157791
28538,303655
42178,289763
158238,353936
175650,276014
460241,275122
30640,213686
137442,172690
108565,188390
144979,203663
43720,250178
495763,309620
28538,303467
52388,277606
43720,249946
131141,392690
54201,271812
53918,229250
142165,220520
52388,277553
28538,303999
155934,332565
52388,277530
135547,315000
52815,267024
131842,394149
29178,295786
28538,303745
48251,405226
52388,277615
154938,329160
142393,405533
48821,339753
172164,280756
54201,271821
47527,290317
178620,260355
43720,250082
30583,189387
43720,250104
48327,292677
52388,277469
28538,303839
54201,271778
53981,228675
103045,368326
145058,228484
66364,402215
455574,241014
50117,77161
52388,277544
122188,281048
28538,303771
120931,369036
164503,313560
141365,424975
28538,303548
176491,264886
104695,363184
43720,249847
127711,202046
53844,314802
50403,269064
325665,369619
43518,180993
205455,474017
52388,277520
46437,279527
171968,283302
28538,303544
124041,338599
52388,277679
52388,277642
28538,303729
449102,258924
164889,242876
176593,226483
47424,242927
48045,290658
48151,272589
158000,221609
49410,332454
41621,256182
43720,250132
58936,413654
52760,269920
66347,346549
218821,77598
42372,220474
43720,250129
28538,303856
52388,277670
50842,400894
52388,277659
151965,306608
46076,325175
450034,310943
167354,296316
43764,244211
155315,328435
47364,259664
47225,321946
52388,277459
52388,277550
176968,341109
460510,334623
141977,336095
37082,149262
42006,268456
50146,330036
175647,253976
153312,377665
160960,274621
112384,217831
43720,249869
104350,364684
52388,277342
47541,289845
52388,277554
96161,316270
43201,282395
120665,123927
142582,271998
47325,432786
198232,267195
52388,277517
28538,303968
52760,269965
122197,367574
132142,231496
160888,339538
42302,281483
160515,326410
154528,364760
48311,292385
41855,238110
134891,354041
116770,337078
52388,277500
41640,247752
43752,197792
28538,303553
52388,277506
43720,249921
45056,308673
43720,249972
43720,250185
195525,409400
46626,262974
174980,266458
99101,364313
52388,277490
54201,271581
43720,249835
318855,336154
43810,284023
171596,410978
31095,162151
186428,292060
95447,316362
49953,395381
143968,297456
175188,301249
40044,170682
43720,249999
150083,370872
186023,409959
138542,238244
28538,303811
52388,277572
95711,245576
109369,174006
177222,240410
156585,235711
43720,250183
101210,346610
114241,384928
43720,249998
43720,249988
180465,277875
43720,250084
28538,303744
158003,317574
102138,297094
28538,303699
46681,286058
141859,292520
54201,271853
188059,207692
43720,249971
60706,360497
170281,267394
189111,360603
104179,289213
153207,346982
28538,303882
52388,277485
54201,271869
159833,331208
53956,160786
52760,269855
174794,352791
52266,318809
32243,257921
42015,288499
28538,303892
45716,248270
59420,154195
131290,303677
135094,244841
114079,316091
109992,174349
28538,303677
44273,207000
28538,303866
43720,250173
136511,214716
52388,277608
54201,271681
141331,427084
52388,277522
52760,269864
52760,269874
52760,269924
137327,355205
42444,330474
28538,303896
43720,250080
40139,146077
183319,297988
28538,304006
28538,303794
142506,339044
43334,286046
52301,268391
52388,277550
43720,249432
30358,292989
54201,271820
46703,283232
52760,269846
42359,77076
148065,303824
52388,277530
104353,301830
307078,209758
48533,318769
48906,300707
154489,325103
52388,277554
52388,277430
28538,303990
108777,172904
52388,277540
130709,152551
52388,277568
54201,271789
134003,369799
52388,277556
43720,249757
104134,363911
28538,303743
38599,245547
41526,198435
47826,230455
177235,252759
461072,240133
52388,277508
174381,348708
28538,304319
140798,249640
142607,235133
28538,303529
47813,324068
28538,303928
173701,204626
43720,250178
192577,451617
47873,273624
52388,277522
43238,328332
52301,268270
41949,195441
95365,323683
31143,347334
47555,290695
168848,309057
148625,270899
28538,303443
47745,402427
173931,309495
160146,246923
43720,249938
138274,229710
101725,186962
103586,373686
45837,321519
158238,353980
28538,304074
146729,394601
42377,288219
142679,238613
167849,278659
28538,303736
181427,267287
158194,311031
112245,334567
56313,382255
162620,382931
52388,277527
54201,271797
109316,206465
43720,249851
115096,294057
46544,249453
176075,188244
451397,188044
110128,322623
43720,250119
28538,303743
28538,303807
146500,387887
52301,268170
147829,358998
43720,249979
28538,303845
30493,295239
46026,295165
52388,277484
43720,249813
53173,252573
52388,277546
181802,451662
28538,304353
52388,277482
118578,461336
48629,341852
31781,279383
143482,275937
52760,269965
43620,284475
28538,303781
52760,269996
40780,217422
165865,266219
104151,369472
49673,256116
426731,317966
38757,162651
51938,297692
55907,276443
189758,350776
43720,249760
112551,318298
183431,239896
142303,418095
28538,304356
54201,271823
42332,232071
158178,203427
148860,255168
28538,303909
28538,303462
92793,403613
28538,303777
52760,269918
142439,412790
144522,267872
188171,387796
130505,394678
442985,229236
47448,289634
28538,303742
153153,406498
192826,409200
92545,356283
97314,329627
151617,368761
45773,277611
445329,229855
52760,269892
164092,262674
52388,277456
133211,276325
133836,228833
52760,269818
30574,240794
52388,277541
52760,269841
52388,277480
28538,303704
120665,123967
52760,269879
52388,277543
175997,228268
43720,249943
142986,414267
52388,277526
179851,214200
52760,269876
28538,303478
43720,250080
28538,303853
106280,224551
28538,303860
43720,249832
204820,377954
141839,308500
141705,425724
52388,277508
183448,213441
175421,391543
178726,130827
178537,253921
30604,294039
159442,208056
165346,219342
46265,345814
42720,250258
151559,360170
149828,249294
52388,277599
187325,336885
52815,267108
174073,224499
172872,229638
182541,227522
179432,207639
52388,277619
52388,277578
54201,271775
52388,277552
52388,277520
52388,277526
43720,250084
43720,250086
52760,269915
28538,303487
110023,165885
50453,279775
43720,249954
28538,303902
38559,272763
156285,395688
180737,343780
49622,341358
122141,286017
49397,309117
43041,232192
46313,354775
28538,303684
164825,288032
52388,277576
140797,377047
161656,319096
43720,249884
196082,271075
47942,230293
32052,268985
154735,276022
47079,288649
48726,279548
52388,277550
45004,273642
51741,314265
97305,297282
442985,229236
254683,148473
176571,267128
170728,375693
52815,267039
181322,226711
28538,303703
100829,354687
43720,250176
52388,277508
43720,249945
197528,406439
69275,325020
42589,215073
52815,267110
459688,274708
52388,277450
445329,229855
43720,249429
173245,354300
467272,243406
52815,267134
174205,248066
54104,288711
179178,340803
107973,145828
28538,303935
49734,265700
28538,303558
28538,303416
143444,294937
182865,343648
147113,286977
114535,176773
103840,360540
52388,277616
42197,288784
144611,411787
99946,374745
52760,269846
43720,249873
52388,277388
41830,193549
445329,229855
54201,271629
161386,278618
152583,369212
174246,259914
178717,276236
52388,277554
153124,367507
28538,303780
152649,300186
180971,274357
174713,256675
52760,269907
52388,277478
45055,308498
180838,275351
108384,170219
175994,346075
93158,359973
183254,232990
43720,250110
43720,249841
445329,229855
175973,326499
57804,206524
40418,151279
151097,340118
52388,277479
178191,251858
189415,269074
101520,355796
109569,162462
28538,303672
28538,303549
188561,358975
101460,309629
42116,278411
36559,209934
154606,326779
179155,235533
28538,303788
172070,325223
426946,289784
52388,277519
28538,303860
52388,277528
142625,421419
52388,277442
54201,271695
28538,303933
133301,280910
52388,277485
145980,326092
150345,374404
142804,410184
31933,340742
154460,347128
47776,275637
321830,279753
43720,249855
147625,255293
142667,411820
28538,303869
54201,271665
28538,303474
116483,323922
38996,225221
30997,283947
139895,317028
101887,347560
43720,249838
43720,250103
28538,303516
144401,270021
43682,339360
176536,248672
139721,223557
43720,249951
175017,242628
52388,277521
52388,277473
47515,290346
103661,367711
28538,303952
47858,256561
142486,410964
54201,271841
52815,267034
28538,303635
41958,222101
111136,384810
52388,277590
28538,303645
43720,249833
28538,303873
125311,173038
28538,303737
445329,229855
142156,422694
52388,277551
143772,413333
54201,271774
158581,231944
52388,277609
180124,216499
173528,360948
169356,359970
140395,220690
52388,277442
169347,294960
46021,319426
160893,295576
154539,321204
43720,250175
52327,232808
28418,294709
28538,303697
151739,347557
54104,288603
113492,317700
103382,192006
28538,303981
52388,277586
101778,198112
111241,301208
47575,342368
445329,229855
46313,354775
158639,87290
180056,244751
136693,366966
52388,277467
173705,223787
52760,269819
46302,307736
52388,277569
42282,181382
163003,212560
177777,270802
156652,319514
52760,269888
135094,229878
442985,229236
52760,269990
50594,358474
459614,283489
52388,277607
140369,317074
43720,249857
176287,253976
143525,273378
43720,249836
151236,417143
110133,199271
94213,354611
146053,225471
47123,255106
464220,242600
192618,403176
143812,414922
146128,355389
127255,216487
176287,253976
134440,85999
28538,303712
179138,189495
52388,277418
177767,283021
184206,282990
161918,275536
46431,222221
52388,277619
132416,280031
28538,303638
28538,303930
142495,409451
52388,277576
179152,282590
178206,399228
51701,344634
103029,243867
186244,424625
120961,313661
52388,277474
52388,277543
48174,280343
103267,367768
158276,333681
105657,317725
52760,269970
43268,244436
28109,293826
28538,303484
28456,204324
149731,398359
28538,303974
43720,250175
37947,162072
52388,277460
152230,385226
144309,350551
42510,155669
161472,246887
28538,303690
145947,263310
171584,193965
144264,398957
137810,300435
52388,277554
49859,303555
46963,359407
54201,271763
122739,287961
143757,304800
173381,348806
154075,369361
52388,277550
43720,249431
52760,269944
176385,359491
148614,255492
47554,290544
49877,330357
54201,271867
44273,207114
28538,303830
52388,277496
198678,412294
42767,248432
28538,303831
28538,303794
55952,282394
32108,296918
43720,250134
28538,303552
47744,302408
42974,293712
166669,274154
46455,318422
176782,207917
52388,277513
28538,303381
461865,207835
42957,296987
68860,337691
139645,230215
43720,249945
41640,247752
169445,318495
52760,269882
47515,289568
52388,277568
54201,271766
52388,277445
28538,303814
172777,257338
129380,214159
28538,303947
141913,341541
43720,249949
42010,242933
46710,250141
43720,249878
28538,303651
180154,164593
52760,269860
28538,303808
47788,239882
445329,229855
112367,389680
42224,190316
52388,277522
154276,227362
126540,329157
47533,290303
167837,298978
162242,298490
52285,204076
30858,287758
28538,303919
173722,317518
138822,255880
43720,250175
182720,260895
459627,210794
52388,277624
28538,303545
52388,277638
184236,232449
150881,320121
46491,322907
28210,118943
160907,273254
28538,303704
147269,255596
138512,192111
174314,261645
52578,288213
130441,305577
44499,233231
52388,277540
54201,271809
29291,291776
41953,241780
52388,277486
153895,326281
46642,249648
52388,277584
62573,152354
159349,388342
52760,269862
28538,303554
171291,392242
152273,380443
52388,277651
165382,253893
138266,286731
183471,357371
125397,382002
52388,277521
134571,160820
28538,304091
52388,277568
157650,345309
46070,303761
58398,382523
28538,303738
57114,317903
28538,303499
52388,277484
149250,409047
43720,250081
46680,320358
459695,274708
184564,274033
118918,286171
43720,250054
147020,259229
54104,288565
43720,249989
52388,277362
132918,386676
30542,188161
172272,340708
43720,250052
43720,249852
52388,277442
172223,270238
143106,411713
95463,323119
59133,201005
164750,316331
143388,241396
193829,262094
171291,392242
102800,348313
52388,277542
42100,291664
176303,260548
143377,299878
52388,277472
152443,346831
52388,277512
52388,277563
52388,277511
28538,303669
150617,255754
28538,303595
28538,303508
173412,370007
50875,240261
52760,269944
131572,158560
45143,237046
54104,288597
154528,364729
43720,249608
55188,294863
43720,249997
48914,356305
97232,247482
168768,234258
52388,277535
139843,236724
159527,369375
189222,303432
121389,287912
28538,303787
54201,271791
44778,282807
28538,303811
255491,148593
28538,304065
28538,303509
40073,151505
43720,249992
28538,303501
144286,369534
52388,277475
42178,317231
31220,286584
174944,296803
43720,250182
28538,303728
170220,261817
460763,241109
145354,268181
162806,329017
459365,290366
129380,190228
43720,249846
142086,224845
30930,318123
49814,221080
52301,268286
52388,277388
43720,250135
152943,375227
113559,369121
177161,289291
28538,303693
28538,303891
145083,250876
40459,124007
45749,281544
182471,279971
181195,227014
50708,221168
52388,277539
170701,324040
52388,277485
161941,263276
52815,267103
170095,329555
92446,354688
28538,303599
52388,277469
160542,355197
28538,303757
53981,228060
43720,249965
103753,371897
41811,258198
28538,303769
166399,362261
172784,357021
151063,217148
175771,246217
52388,277507
47826,252829
46488,228456
170154,441990
154507,235087
150839,270088
121257,370215
155246,426887
123557,369046
43720,249948
115849,376756
52388,277647
173018,355452
161695,361037
43720,249879
41763,68032
52388,277558
28538,303562
37358,227252
189537,293308
185924,279893
147403,249560
45099,267432
448993,309559
40413,241851
47475,288999
100922,377951
172101,340158
184617,260433
52388,277566
178704,264046
52388,277469
28538,303795
162712,259303
178457,300429
181165,203987
28538,303489
43720,249940
144681,336166
43720,250117
141428,310265
104861,365366
170627,348669
446835,281893
491289,254848
170647,352918
52815,267010
167234,314868
109819,294452
171871,251872
43720,249883
52388,277572
52815,267055
41745,306971
242722,252895
155879,386229
174599,287786
174099,428366
52301,268269
52760,269842
28538,303401
52815,267033
255650,148530
457242,252285
146956,310471
29083,297231
28450,152072
43720,250137
156041,309629
154218,359902
28538,303705
52388,277554
175531,369229
28538,303723
52388,277638
169939,311271
179895,393736
52388,277510
192899,429904
46135,291153
445615,345530
51009,357880
61518,201721
52760,269962
193246,304541
108823,199330
142571,249903
52760,269862
164140,404156
143084,259845
200750,302038
113297,291331
49034,313268
28538,303875
182392,207110
42153,291418
142565,306442
53740,223233
44440,265621
56410,230123
52388,277472
42322,151297
182160,338937
132889,315790
165276,341407
52388,277617
52388,277572
150246,347728
168753,218800
166184,316987
127064,191244
52388,277424
52388,277473
52388,277553
98640,346938
108395,215859
30543,291741
28538,303794
43720,249966
176084,419017
446802,289895
52815,267106
43720,250080
216127,261165
28538,303802
43720,249852
180749,336482
54104,288595
112431,382452
188359,332669
38712,162894
43720,249833
28538,303522
177271,266447
48313,276098
52760,269976
166472,334343
105893,235859
45481,328174
52388,277449
52388,277430
52388,277609
52815,267010
54201,271655
153804,324283
393016,321544
48104,293203
176347,261213
28538,303728
164185,375917
28538,303426
65598,326640
147448,271419
43720,249810
43720,250132
177917,399191
173256,236598
52760,269898
172053,213410
47079,288649
152822,336159
40201,252705
148745,215688
181446,320983
54104,288597
140965,208636
143502,351111
59638,121518
172484,231683
179487,215804
42402,201220
177972,305664
459675,296754
70640,326841
173754,197179
142413,275505
43720,250180
52388,277439
28538,303885
45166,320755
52388,277508
28538,303609
28538,303483
181644,260262
139714,258608
54104,288712
42698,259037
93386,367446
445329,229855
154847,211758
173543,328201
182105,336483
98694,269460
28538,303839
103274,218110
161300,280510
49636,206535
52815,267028
161622,246888
52388,277566
42575,353187
46636,376653
52760,269874
42235,264847
45055,308529
54201,271864
52388,277553
28538,303500
52388,277605
29538,292180
43720,249941
28538,303639
28538,303537
145732,342215
48286,377906
28538,303637
28538,303696
448426,247963
51260,248997
52388,277502
129380,220168
52388,277490
52815,267100
43720,250114
172363,317914
171430,195279
43720,250081
52388,277548
104754,372238
41967,245975
172507,106851
445329,229855
28538,303827
201281,520756
123529,339608
52388,277506
137594,221299
51904,265243
47882,273885
52760,269940
28538,303465
49741,322776
194123,290187
52815,267067
52815,266985
445329,229855
162177,277683
52760,269846
52388,277396
69094,323979
43720,250119
105876,274004
52388,277591
164823,338040
52301,268399
31151,223685
442985,229236
28538,303565
52388,277519
457001,274297
110538,284237
445329,229855
448826,250076
170478,376371
28538,303584
69094,323986
52388,277576
28538,303556
174612,260730
450225,300199
144239,374438
52388,277500
52388,277520
53709,96860
28538,303663
137552,166956
47459,353142
43720,249855
47385,372105
127289,315085
31433,299209
110522,236428
151339,300617
141506,404937
42110,147397
43720,250101
180317,309327
29538,291747
52388,277629
52388,277503
137906,168789
59876,194494
150281,231081
31455,263135
175862,253923
43720,249943
138395,220575
52760,269897
28538,303784
28538,303815
28538,303576
52760,270001
30967,230643
121751,368213
99397,343680
175270,280016
28538,303912
91630,343960
28538,303788
52388,277438
48953,313824
28538,303756
148795,341665
445329,229855
52388,277542
206267,209041
28538,303814
52388,277513
180543,444658
28538,303650
28538,303994
171868,88145
28538,303718
137862,228188
445329,229855
28538,303646
31191,183271
170071,229968
176080,253976
45077,349822
125004,357599
174566,218116
103849,372305
43720,250133
145405,277776
142245,232181
28538,303734
142144,304781
152360,327904
149251,240842
181173,277088
43720,249917
151318,332549
129128,164340
54201,271717
43720,250084
185217,269326
43720,249888
459990,273758
176439,230954
168502,239767
46241,360559
43720,250102
28538,303553
52760,269910
162145,248261
150238,346199
45716,248270
45609,370774
53499,277794
186897,274331
43720,250056
28538,303447
212398,298794
120909,287187
47915,295199
144163,92978
179092,335906
101807,325300
54201,271775
103868,364743
101578,428064
52388,277434
43720,249937
52388,277560
39811,305569
42096,248181
459510,210794
192444,336730
28538,303664
179788,229383
52388,277476
41812,211170
43720,250180
43720,249423
141159,402724
452114,321997
442272,323419
150802,328654
143595,405805
151860,366590
135498,370413
143536,360450
171291,392242
43720,249955
30825,328706
46901,298912
160707,329084
114253,318867
54201,271698
57193,333144
139959,276658
148150,337548
30177,178185
171138,352000
54201,271918
28538,303565
43720,249849
28538,304102
149913,272441
28538,303642
172325,257913
28538,303700
162660,267862
41538,256431
28538,304045
151031,388861
28538,303718
52388,277494
70734,310985
169864,239488
100473,328646
46928,255915
28538,303791
52388,277502
54201,271789
142855,214593
174850,318751
43720,249606
31879,277723
52388,277481
49521,332446
152944,364165
28538,303435
172483,230634
164236,286811
30535,189844
160133,326440
181026,333423
457027,274108
43720,249998
146393,236107
450903,339315
160960,237649
54104,288625
159567,333583
142509,326789
42437,294650
52388,277629
132881,358457
156600,383982
47474,291518
52301,268337
59876,194488
175601,229664
445329,229855
188832,269233
52815,267027
59876,194556
43720,249967
30483,274459
28538,303953
45828,190965
110487,183505
47839,296175
52388,277570
52388,277531
43720,250175
52388,277485
156436,371695
101918,189118
47079,288649
138274,229710
448296,235415
129069,211640
38916,285620
107978,197292
100422,377174
55131,88953
28538,303497
176968,341109
45419,376777
28538,303663
120373,280327
28538,304363
133959,316359
28538,303673
121735,282811
45790,352569
52388,277501
121489,368876
442985,229236
151249,373547
375923,286432
43720,250040
168207,101137
458588,291328
162555,293624
145276,379741
185579,301279
43720,249993
41835,294290
47246,225447
129140,172979
184499,264241
255491,148467
42224,259737
95601,322936
43720,249610
47079,288649
28538,303912
43720,249849
148949,255276
442985,229236
43330,285170
37015,235085
104395,366562
157910,399565
41665,86722
51873,310687
109063,218658
175928,354245
162787,293624
43720,249832
38809,167165
43720,250179
28538,303505
52388,277528
43720,250130
113157,245131
153061,332664
28538,303669
45727,352569
43720,250119
28538,303957
52388,277539
120075,310260
28538,303728
48270,268076
49358,303027
52388,277541
49597,329179
190859,302556
28538,303854
52760,269957
46299,314048
158557,301491
168157,445463
28538,303562
37713,295330
149203,389069
40916,179184
54201,271616
136461,217391
67847,228109
122432,369009
109206,264704
121548,284588
106062,377475
52388,277624
45048,214857
52388,277573
28538,303421
141810,348695
144454,370239
180783,252218
175757,265533
148784,250507
113157,245489
47988,297937
142554,306304
122998,287698
52388,277567
97416,295352
37445,230532
52388,277543
137089,257388
156369,382486
43720,249836
100040,374162
134992,230539
52760,269934
51938,286781
151977,345071
182891,250394
52388,277494
52388,277440
184489,257056
442985,229236
41052,231887
151473,271090
149992,438804
52388,277567
52388,277607
99307,314270
54201,271687
154030,336333
41746,209097
52388,277526
52760,269915
143692,413292
101420,307334
52388,277543
175538,215354
28538,303683
179614,288705
92280,359282
43720,250047
161023,283774
28538,303536
43720,249613
47909,320881
43720,250114
109146,269399
28604,205423
143045,362569
51851,237340
43720,249762
297544,308557
121869,369746
189160,185144
48404,278956
148724,377711
184203,295913
132092,394491
28538,303425
188162,348157
43720,250083
448394,290248
130615,152612
109127,167464
107081,348206
45444,190534
46703,285805
165394,285853
92793,403613
135448,230346
167019,288117
99784,375078
143054,403202
28538,303851
28538,303984
41643,257013
28538,303828
120506,281904
151534,371809
145640,402801
52815,267088
28538,303594
43720,249941
52388,277655
52388,277526
143832,405732
144263,338598
43720,249853
445329,229855
57331,211080
189585,357815
151295,361130
43720,249878
162480,240943
52388,277569
429872,241521
43156,204641
28538,303560
52388,277455
47950,340899
43720,249978
145027,286849
46284,294881
52388,277516
45653,255590
177921,368720
154076,314448
54201,271651
46517,288625
28538,303898
99472,363084
45772,250247
46936,300089
67206,156408
48151,272589
144687,360319
47909,276552
151997,372826
52388,277441
52815,267120
186977,234421
52388,277462
462792,241444
131817,393894
159485,242214
163886,396760
140721,259348
28538,303600
154528,364782
447717,270315
52760,269851
104835,296823
47705,293917
51928,189046
145257,268178
43720,249841
183145,338770
28538,303695
28538,303950
43720,249929
46481,248739
54201,271799
129069,172988
52388,277473
173144,172985
446740,227596
28538,303504
161813,193027
447846,288878
177024,198200
48146,310671
161828,421242
121671,282510
42503,272883
154445,417733
159719,308958
52388,277454
148774,221872
43720,250136
48151,272589
47519,289903
40651,237840
131486,393862
453538,243973
154528,364759
54201,271765
28538,303826
52301,268245
46645,240466
47246,225464
48205,305837
445329,229855
100396,393856
41875,209643
133403,162770
142627,318019
52815,267029
151775,348724
122889,382022
144437,326381
28538,303838
54201,271802
52388,277480
469686,412729
120334,282861
143388,251919
149381,324488
41624,227440
169510,303509
43720,249965
50685,300792
163662,347516
48205,305837
127914,151267
43720,250128
52760,269929
455583,240999
119286,391947
116641,321183
148972,305527
43720,249994
167981,390775
131948,393349
43720,249433
28538,303695
52388,277478
38648,136250
341232,268273
170686,257710
28538,303681
199999,325943
126541,148428
60637,265627
129491,247481
180925,134436
142046,336614
176800,277677
68854,316224
28538,303525
445329,229855
28538,304012
175424,240308
30925,213443
41562,238845
43720,249830
52388,277495
131837,395534
28538,303715
32089,199282
45373,308293
151163,297773
147926,335294
152046,398405
54104,288641
43720,249810
445329,229855
52301,268395
52388,277478
52760,269816
54578,287620
43720,249991
40984,203359
174756,260090
46288,288438
52301,268247
28538,303782
43720,249946
153970,341151
181967,288493
